脸红仆仆@成长@苹果的脸红仆仆的，像在诉说着自己的成长	果园里，
时间@化妆师@时间是一位奇妙的化妆师	自然而又公正地描绘着人们在不同时期的形象。
夏天@小伙子@夏天是一个灵活的小伙子	他过来替春姑娘换班了。
葡萄绿绿@水晶@一串串葡萄绿绿的，真像是用水晶和玉石雕刻出来似的	晶莹透明。
肌肉@石头@他身上隆起的肌肉，像一块块坚固的石头	硬硬实实。
秋天@手@秋天像妈妈的手	抚摸我们的脸。
高粱@老爷爷@高粱熟了，像年迈的老爷爷	压弯了腰。
话@粘痰@那最难措辞的一段话还闷在收里，像喉咙里咳不出来的粘痰	觉得奇痒难搔。
水@骏马@黄河水如一群在狭窄的狭谷里奔腾的骏马	挤在河滩中间那条只有五六十米宽的河道里直泻而下。
语文@果汁@语文是新鲜味美的果汁	让人滋心润肺。
阳光@灯@阳光，是前行的灯	照亮我们前行的路。
母亲@大山@母亲就像一座大山	蕴藏着万物，哺育我们成长。
榕树@遮阳伞@拥有茂密绿叶的大榕树好像一把巨大的遮阳伞	挡住了烈日炎炎的太阳。
辫子@问号@她的两条短辫子，像两个大问号一样	贴在耳边。
幸福@溪水@幸福就像刚解冻的溪水	澄澈透明，无暇无眦。
云@思绪@云像思绪	小鸟们的席梦丝。
爱心@风@爱心是风	带来绿色的希望。
时间@奔跑@时间像一只正在奔跑的千里马	转眼即过。
爱心@阳光@爱心如一片照射在冬日的阳光	使饥寒交迫的人感到人间的温暖。
高粱@小姑娘@高粱像做错了事的小姑娘	涨红了小脸。
身体@绵羊@天上的云舒展开身体形态各异像绵羊像群山还像棉花糖	什么样子都有。
老师@春蚕@老师像春蚕	吐尽心中所知，教会我们知识。
友谊@细雨@友谊如一丝细雨	我们在享受中永不干涸。
祖国@蓝天@祖国是蓝天	我就是蓝天上的一朵云。
湖面@平面镜@湖面平静的像一面大平面镜	没有一丝波澜。
勤奋@风@勤奋是风	吹拂心愿的帆。
橘子@灯笼@成熟的橘子像一个个小灯笼一样挂在枝头	秋天，差点把树枝给压弯了，
榕树@仙女@小榕树就像一位仙女站在花盆中间	远远望去，
春风@裘@春风，你像轻轻的裘	默默地驱赶着凛冽的春寒。
笑容@花@脸上洋溢着灿烂的笑容，像一朵娇艳的花	远方那个放风筝的孩子，
冰花@水晶@啊冰花真神奇它像水晶般玲珑剔透	真是美极了。
船帆@星@船帆已经落下来，如远天升起的一颗红色的星	渔火在桅杆上闪烁着。
关爱@小舟@关爱是一艘小舟	将人们载往爱的彼岸。
站@圆规@她站在我面前，正像一个画图仪器里细脚伶仃的圆规	张着两脚。
云雾@骏马@起风了黄山的云雾千变万化像骏马	真是千姿百态。
秋风@画家@秋风如同慷慨的画家	将五彩颜色填满瓜果庄稼。
宝塔松@火箭@花坛中央有两棵笔直挺拔的宝塔松，似一枚枚飞入太空的火箭	又高又尖。
起@翡翠@船头飞溅起如翡翠般晶莹透亮浪花	吟唱著欢乐的歌儿。
树叶@天使@树叶一片片落下来了，就像变成穿着黄色裙子的天使从树上飞舞下来	秋天到了，
信任@盆火@信任是一盆火	燃起失败者的希望。
善良@暖阳@善良是寒冬的暖阳	给寒冷的人些许温暖的光。
关爱@手电筒@关爱，是一只手电筒	帮我照亮前方的路。
宽容@诗@宽容像一首诗	一首快乐的诗。
白云@孩子@白云像调皮的孩子在捉迷藏	飘散在空中。
春天@大树@春天像参天的大树	生着粗壮的枝干，带着绿叶向上前进。
困难@狂风@困难是狂风	强者是风中的帆，弱者是风中的沙。
冬风@小孩@凉的冬风像顽皮的小孩忽然挤进来	在缝隙里蹭过手指。
心情@秋风扫落叶@我的心情像秋风扫落叶一般	秋天到了，
父亲@教鞭@父亲是一条教鞭	总在鞭策着我前进。
白杨树@卫兵@沙漠里的白杨树就像一个个卫兵	沉默而坚定的守护着疆土。
孤独@空气@孤独像是空气	你呼吸着它会感到自己的存在。
真情@风@真情是春天的风	吹醒我沉睡的笑容。
声音@百灵@她的声音似百灵一般	婉转动听。
个人@人@爱情中的两个人，就好像两个拉着橡皮筋的人	受伤的往往是不愿意放手的那个人。
冬天@魔术师@冬天像个魔术师	它用“雪“这个道具装扮了整个世界。
烦恼@叶@烦恼像秋天的叶	飘洒一地。
后背@手@海浪拍打着我的前胸后背，就像妈妈的手抚摸着我	坐在海边，
爱心@阳光@爱心是寒冷冬季里的一束阳光	洒在你的心房上，让你感到一丝温暖。
脑袋@毛球@小狗长着圆圆的脑袋，像一个小毛球	中间有一条白色的条纹。
东边儿@利剑@凛冽的寒风从西边儿刮到东边儿，像利剑一般	刺入肌骨。
纹头@导弹@我养的小乌龟全身是花纹头很像小“导弹”眼睛像小珍珠一样明亮	鼻孔小小的，嘴巴弯弯的。
暑假@书@暑假像一本受益匪浅的书	记录着快乐与智慧。
稻子@农民@秋天的太阳普照着一望无际的稻田，稻子像田里的农民一样	背负着沉甸甸的幸福弯下腰去。
承诺@云朵@承诺像天边云朵	虽然真实却难以触碰。
秋@老者@秋像一位慈爱的老者	枝枝叶叶都在诉说春夏的故事。
骄傲@浪涛@骄傲像汹涌的浪涛	它会将你自大的船只打翻。
头发@燕子@乌黑的头发卡成一束“马尾巴”，像一只燕子在飞舞	一晃一晃的。
心灵@湖水@心灵是一片宁静的湖水	偶尔也会泛起阵阵涟漪。
千姿百态@群山@天上的云千姿百态好像群山的好像大象的好像羽毛的好	好看极了。
树叶@小鸟@树上的叶子渐渐黄了，飘落的树叶像一只只金黄的小鸟	上下翻飞。
瀑布@歌唱家@瀑布像一位歌颂大自然的歌唱家一样更像一个不知疲倦的孩子	不停地奔跑着。
自信@鸟@自信是一只鸟	没有自信，就不能唱出悦耳的歌声。
桂花@小精灵@桂花朵朵飘落，像极了好多小精灵翩翩起舞	风一吹，
水流@胡子@走到瀑布跟前，只见银白色的水流像老爷爷的白胡子	一缕一缕地倾泻下来。
柳树@少女@春天的柳树像一名害羞的少女	摇曳生姿。
书@人类@书是人类良药	帮助人们医治愚昧顽症。
霓虹灯@七彩@远处霓虹灯像一座七彩小桥	绚丽的云。
溪水@明镜@溪水是静的，宛如明镜一般	清晰地映出绿的树、红的花、蓝的天、白的云。
春雨@天使@春雨像一位天使	飞过遥远的森林和城市。
友谊@色彩@友谊是大自然的一抹色彩	独具慧眼的匠师才能把它表现得尽善尽美。
生活@歌@生活是一首歌	飘扬着人生的喜怒哀乐。
海浪@狮子@那海浪如同一群群发狂的狮子	咆哮着、怒吼着，拼命地击打着沙滩。
眼前@水帘@展现在眼前的是一座宽大的瀑布，像一张巨大的水帘	挡住了青山。
时@小船@河马在水面上睡觉时，就像一艘底朝上的小船随波荡漾	宽大的脊背整个儿地露出水面。
时儿@白兔@大海啊你时儿像白兔一样温柔时儿像雄狮一样威严凶狠	让人捉摸不透，却不忍离去。
眼睛@铜盘@月亮睁大眼睛，极像一只被擦亮的铜盘	和蔼地望着村落和郊野。
巨大@物品@巨大的太_像是背着什么沉重的物品一样	一点儿一点儿，轻轻的慢慢地往下沉。
祖国@花园@祖国是花园	我们是花草在花园里成长。
杨柳@女孩儿@春风在轻抚杨柳，像正在梳头的女孩儿	杨柳的柳条轻轻摆动。
学校@天堂@我们的学校像西方人想象的天堂一般	美如仙境。
春风@太阳@春风吹在我的脸上，像午后的太阳照射着我	暖洋洋的。
眼睛@星星@他的一双大眼睛，似乎夜晚空里的星星一样明亮	美丽的花园似乎就是天上仙境。
松鼠@粒子弹@只见松鼠像粒子弹似的从里头蹿了出来	我们急忙把通风口打开，跳到了大柜顶上，
妈妈@小船@妈妈像一叶小船	载着我驶向人生的彼岸。
磨难@孩子@磨难是刚出生的孩子	惊奇而冒险。
星星@小精灵@银闪闪的小星星一颗比一颗明亮，像一个个小精灵	顽皮地眨着眼。
雨@画师@秋天的雨，像一位画师	看呢他把松树画的绿油油的。
青蛙@交响曲@有时上百只青蛙呱呱叫个不停，像一首交响曲	那声音能够传到几里之外。
父母亲@老黄牛@父母亲是默默的老黄牛	忍辱负重，从不叫苦。
感恩@彩虹@感恩是一道飞架在天边的彩虹	使满目阴霾的人见到世界的美丽。
微笑@小溪@微笑如夏天里的小溪	冰冰的，凉凉的。
冬天@姑娘@冬天是个骄傲的姑娘	在白雪的美丽下，隐藏着刺骨的冷意。
妈妈@港湾@妈妈是避风的港湾	让归航的我不再漂泊。
春风@工人@春风像清洁工人	用一把神奇的扫把扫除灰尘，把城市装饰得漂漂亮亮干干净净。
大厅@甘泉@优美的乐声在大厅里回荡，像一股甘泉	一直沁入听众心灵的深处。
科学@飞船@科学像一艘飞船	引领我们探索着未知的世界。
生活@书@生活是一本书	书中有着你与我。
老师@园丁@老师像那辛勤的园丁	在学生眼里，无私地为学生们奉献着一切，
嘴巴@樱桃@一张樱桃似的嘴巴微微撅起	说起话来可伶俐呢。
记忆@水@记忆像倒在手心里的水	不论是摊平还是握紧，终究还是会从指缝中一滴一滴流淌干净。
风@棉絮@春天的风，像棉絮一样温柔	吹过我家门前的小河。
爱心@云朵@爱心是云朵	编织壮丽的彩虹。
惊涛@千军万马@来了来了呼啸着、拥挤着冲锋在前的惊涛，如千军万马	以排山倒海之势压向壶口。
作业@山似@作业像一座小山似的压在我身上	压得我喘不过气来。
白云@积雪@白云像积雪	自由的飘荡着。
时间@天平@时间如同一架天平	它能称量奋斗者成果重量。
快乐@笑脸@快乐是孩子们纯真的笑脸	快乐是老师赞许的眼神。
自省@一面@自省是一面镜子	它能将我们的错误清清楚楚地照出来，使我们有机会改正。
荷花@少女@荷花像闭月羞花的少女	在微风中轻轻飘动的那洁白无暇的裙角。
红苹果@笑脸@看那一个个沉甸甸的红苹果红艳艳的，就像小朋友灿烂的笑脸	可爱极了。
母亲@船@母亲像一艘大船	载着我们驶向大海，去追寻生命的奥秘。
春风@旋律@一阵春风像一声呼唤，又仿佛一阵旋律	真美妙。
瓣@饺子@八九个小小黄色的桔子瓣它们像小饺子一样	正在做着香甜的美梦。
花瓣@头发@那一朵朵花瓣真像女孩子刚洗过的头发	随意飘散开来。
妈妈@扇子@妈妈像一把扇子	在烈日炎炎下为儿女扇起一阵凉爽的清风。
雪花@烟@一片片小雪花飘飘洒洒纷纷扬扬像烟一样轻	慢悠悠、轻飘飘地从天而降。
海鸟@白纸@海鸟惊起，像一片片白纸	扇动双翅飞去。
泉水@珠花@清澈的泉水喷涌着像一朵朵一瞬即逝的珠花	变幻着，奇妙极了。
乐观@冰红茶@乐观是一杯甜甜的冰红茶	你笑了，让你从嘴里甜到心里。
小露珠@珍珠@挂着一滴滴晶莹的小露珠，像挂着一颗颗闪光的珍珠	绿色的竹叶长出来了，
知@小孩子@知了像一个顽皮的小孩子	在枝头不住地鸣叫。
山峰@巨人@远处那座山峰像一位巨人	头顶苍天脚踏大地，身姿伟岸。
爱心@风@爱心是风	吹遍每个角落。
自信@木筏@自信就是大海中的一只木筏	为你提供坚持下去的勇气。
父亲@茶@父亲的爱像一杯茶	平淡的语言中有着对子女丝丝的牵挂。
荔枝@糯米@这红鲜鲜圆鼓鼓的荔枝，雪白如糯米汤圆	瓤肉饱满晶莹。
悲伤@河流@悲伤如同一条看不见的河流一样奔流不息	它焦急的流淌在我的身边，吞噬掉了我所有的快乐。
母爱@警钟@母爱是一个警钟	无时不刻在提示我们。
老师@蜡烛@老师像蜡烛	无私的燃烧自己，奉献他人。
芦苇@战士@那芦苇像风中的战士	挺立不屈。
水碧@湖面@湘湖的水碧绿得像一块翡翠在阳光的照耀下湖面像披上了一件金光闪闪的衣裳	瑰丽无比。
水草@地毯@可以看见湖底绿茵茵的水草，像一层地毯	透过清澈的湖水，
月亮@眼@月亮像母亲的眼一样	在不可及的天边等待和儿女的团圆。
诚信@外套@诚信是人最美丽的外套	是心灵最圣洁的鲜花。
吊兰@空调@吊兰像绿头发似的，活泼地坐在空调上	吊篮像绿头发似的，
羽毛@树叶@翠鸟背上的羽毛像树叶一样	是浅绿色的。
科学@湖水@科学是一片宁静的湖水	偶尔也会泛起阵阵涟漪。
父爱@茶@父爱如茶	虽然又苦又涩，然细细品味却是满口芳香与甘甜。
生命@歌谣@生命是一首飘荡在夜空的歌谣	使孤苦无依的人获得心灵的慰藉。
头发@公鸡@小丫头脑后那两绺随便扎起的头发，像公鸡尾巴一样	一跳一跳的。
高远@白帆@天空高远、洁净，像大海里浮动的白帆	片片白云轻轻飘着。
泪水@溪似@浑浊的泪水像小溪似的流淌着	老人充血的眼睛里只有愤懑与悲哀，
迎客松@高人@迎客松像一个世外高人	泰山云海有许多壮丽的景象，孤傲的站立在山巅，
战士@钢铁@战士是钢铁	是人民的保护神。
爱心@船@人生是无情的大海，爱心就像一条船	载我们到希望的彼岸。
它@烈火@它像阳光中的一团熊熊烈火	远看月季花，
叶子@房子@山葡萄的叶子绿绿的，猛一看就像一个绿色的小房子	铺满了整个葡萄架。
父亲@严鞭@父亲是一条严鞭	让你的前进步伐即使在遇到挫折时也能永远向前。
梅花@飘雪@梅花像雾中的飘雪	冷艳逼人。
书@明灯@书是明灯	能照亮前行之路。
花苞@脸蛋@看那嫩绿中透着粉红的花苞，就像是一位青涩的少女的脸蛋	正害羞地朝我笑呢。
蝴蝶@少女@蝴蝶如美丽的少女	优雅地飞走了。
枝条@手@柳树枝条像个姑娘的手	轻轻的抚摸着湖的脸。
父爱@水@父爱是一汪水	深藏不露。
爱心@阳光@爱心是一片照射在冬日的阳光	它使贫病交迫的人分外感到人间的温暖。
响好@雷@极天际地的一声大响好像是雷	又好像是嘶吼。
微笑@特效@微笑是特效护肤露	把它摸在脸上，我们将愈加美丽。
军人@钢铁@军人是钢铁	是人民的保护神。
海水@宝石@荡漾的海水像翡翠的宝石	在夕阳下闪闪发光。
金钱@天使@金钱是一个天使	能够给人帮助。
书籍@良药@书籍是良药	能医治愚昧之症。
老师@大树@老师像一棵大树	为我们遮风挡雨。
树叶@太阳@大树的树叶好像被太阳给烫卷了	小树的脑袋也无精打采的耷拉着。
月亮@小船@星星眨巴着小眼睛为路人指引方向，月亮弯弯像小船	行驶在那天海上。
目光@光柱@观众的目光，像无数条探照灯的光柱	紧紧地追逐着正在表演的武术运动员。
理想@航灯@理想是航灯	指引船舶航行的方向。
理解@风@理解是风	吹散心灵上那一曾硝烟弥漫的纱幕。
猫@孩子@小猫像一个淘气的孩子	不停的在家中转来转去。
梦想@夏天@梦想就像是夏天	开出了希望的花朵。
目标@风帆@目标犹如航行的风帆	推进破浪的航程。
父爱@大山@父爱是一座大山	挺拔而伟岸。
柚子@雪球@被剥了皮的柚子像一个洁白的雪球还像一个粗糙的棉花球	但仍然不见它的庐山真面目。
书籍@蔬菜@书籍如一把把蔬菜	给我们补上知识的营养。
关爱@桥@关爱是一座桥	它可以帮人们度过对岸；来到一个充满爱的地方。
友谊@信@友谊是失落日子里的一封长信	有力地为你书写勇敢的信念。
秋雨@轻纱@秋雨如同轻纱	朦胧中略带羞涩。
生命@画布@生命像画布	全靠自己挥洒。
兰花@风@兰花就像一只只五彩缤纷的玉铃在风中摇晃着，好似那清脆的悦耳的铃声在风中传送过来	侧耳倾听。
清风@杯@清风如同一杯清茶	让你神清气爽。
天气@烈火@天气太热了，像熊熊烈火般的燃烧	让人喘不过气来。
知识@细雨@知识是春天里的一场细雨	使心灵枯萎的人特别感到情感的滋润。
母爱@泉水@母爱是干旱沙漠里的一泓泉水	让人看到希望;。
信任@阳光@信任是一缕阳光	驱散了怀疑的迷雾。
云彩@骏马@天空中的云彩有时像奔腾着的骏马有时像吃草的绵羊	变幻多端。
汽车@一阵风@飞驰的汽车好像一阵风似的	从我们身边掠过。
友爱@纽带@友爱是连接人间亲情的桥梁和纽带	使人更亲近。
美人蕉@小姑娘@美人蕉像含羞的小姑娘	捧出红艳艳的花朵。
关爱@眼神@关爱是一个眼神	给人无声的祝福。
云朵@绵羊@云朵像一群群温顺的绵羊	慢慢的游走于天空。
朋友@潺潺流水@朋友似潺潺流水	轻轻趟过我的心田。
冰花@雪山@冰花真神奇它像雪山一样纯洁	真是美极了。
爱@清风@爱是夏日里的一阵清风	是心急如焚的人身心感到无得比凉爽。
心@松风@心在颤抖声声犹如松风吼	琴音绕丛林，
亲情@河@亲情是河	每个人都是它的一条支流，让它永不干涸澎湃向前。
孝顺@唠叨@孝顺是一把亲切的唠叨	分担父母的痛楚。
羊群@流水@草原上羊群像流水般涌动着	又像云朵般一样飘拂着。
母亲@明灯@母亲是黑夜里的一盏明灯	当你迷茫时，坚定的指引和呼唤使使你迈出矫健的步伐。
时光@水@时光像一杯水	它能冲淡岁月的回忆。
四肢@花@乌龟的四肢十分发达，就像穿了一件花衣裳似的	背上还有一些斑纹。
红豆@珍珠@熟透了的小红豆像珍珠挂满枝头	和那茂密的绿叶组成了一把小花伞，真惹人喜爱啊。
童年@花@童年像春天的花	含苞欲放，生命无穷。
幸福@花朵@幸福是花朵	绽放出光明与希望。
书@雷@书是一声雷	惊醒恶梦回头。
麦苗@海洋@麦苗绿油油的，像绿色的海洋	一望无际的田野上，
霓虹灯@耀眼@远处霓虹灯像一朵朵耀眼	绚丽的云。
月光@流水@皎洁的明月高挂在淡蓝色的天空中，月光像流水一样泻下来	大地一片明亮。
恋爱@糖果衣@恋爱就像糖果衣	果衣里面包裹的是残忍的现实。
信任@星光@信任是满天闪烁的星光	需要我们带着敬畏去珍藏。
燕子@建筑师@小燕子像建筑师	从四面八方找到泥土，建筑自己的家园。
葡萄@猫儿眼@每一颗葡萄都像一颗又大又光泽的猫儿眼	使人口生蜜意，甜沁心脾。
书@良药@书是人类的良药	帮忙人们医治愚昧的顽症。
热情@蜜蜂@如果热情是一只蜜蜂	就酿造一份甜蜜。
萤火虫@火星@萤火虫像黑夜中被微风吹起的火星	飘忽不定。
荷叶@伞@那荷叶像一把把张开的伞	荷叶茎的上面是很嫩的绿叶，绿的那么新鲜，
冬天@画@冬天像一幅画	银装素裹，点滴冬日情怀。
花@天鹅@一朵朵盛开的白莲花像天鹅一样优美	令人流连往返。
老师@火炬@老师像一把火炬	时刻把光明洒向人间，让自己的生命燃烧不止。
记忆@花园@记忆像一个大花园	每一朵小花都代表一件事。
信念@佛@信念就仿佛是人心中敬畏的佛	它指引着我们向前迈进。
婚姻@橘子@有的婚姻像橘子	剥开哪一瓣都是甜的。
奶奶@花儿@奶奶开心地笑得像一朵花儿	我给奶奶讲故事，
黑夜@珍珠@黑夜像一颗黑色的珍珠	在漆黑的夜色里发出熠熠的光芒。
油菜花@小姑娘@油菜花开了，就像一个个穿着黄裙子的小姑娘在跳舞	迎着风。
老师@工程师@老师像人类灵魂的工程师	传授丰富的知识。
天气@冷气@今天的天气就像是冰箱中的冷气一样	很冷。
梅花@勇士@梅花像一个不畏严寒的勇士	与风雪严寒作斗争。
春风@插花@春风像一个插花能手	她悄悄来到人间，把美丽的花朵插满人间。
老师@炉火@老师像冬日里的炉火	给我们带来温暖和幸福。
童年@风筝@童年，像一架风筝	带着我们飞翔。
友善@清泉@友善是一汩流淌在夏夜的清泉	使燥热不寐的人领略诗般的恬静。
书@小帆船@书像一只弯弯的小帆船	载着我们驶向无边无际的大海深处。
身躯@卫兵@杨柳的身躯笔直笔直的，像一群站岗的卫兵	在路两边一动不动的站着。
绿茵@锦@山坡上绿茵如锦，如一大片翡翠上镶着各色各样的奇宝异石	盛开着斗艳争妍的五光十色的鲜花。
地@螃蟹@一股细小的山泉慢慢从地底下像螃蟹吐泡泡一样	悠悠然然地冒出来。
春雨@薄纱@春雨思如丝，丝丝春雨像春姑娘身上的薄纱	随风飘动。
笑声@糖丝@远远的传来渐曳渐细的笑声，像扯细的糖丝	袅袅地在空中回旋。
庄稼@衣裳@房屋、地上、庄稼像披上一层银色的衣裳	一场大雪过后，
友谊@糯米@友谊如糯米	我们共同酿造，酿成一坛坛醇香的琼浆。
人生@选择题@人生是一道选择题	选对选错是你自己的决定。
梦想@气泡@梦想是五彩的气泡	美丽又易逝。
理想@灯@理想是希望的灯	照亮我们美好的前程。
夜幕@古堡@夜幕四合，像神秘的古堡	周围的群山。
家@跑车@家是一辆跑车	随时需要共同的保养的呵护。
人生@药@人生像一味药	需认真煎熬。
美丽宛@果实@少女啊，你的美丽宛如渐趋成熟的果实	紧张地隐藏着倔强的秘密。
花@白纱@一朵朵盛开的白莲花像白纱一样飘逸	令人流连往返。
羽毛@红衣裳@我家刚买了一只百灵鸟，火红的羽毛犹如红衣裳	它的羽毛十分漂亮。
松树@老人@松树犹如一位深沉的老人	在森林里安静地生活着。
喷泉@画卷@喷泉是一幅活动的画卷	随着音乐在舞动。
蓝莓@小拇指@蓝莓长的不像草莓是蓝紫色的很小是圆的大约是小拇指指甲盖一半这么大像一个小型的李子	味道比蓝莓酱淡很多。
等待@毒药@等待是慢性毒药、即使等到了	你也病入膏荒。
蔷薇花@守护@蔷薇花像守护精灵	她喜欢攀附在围栏上。
声响@催眠曲@那一声声有节奏的拍打海滩的声响，如慈母拍婴儿入睡发出的催眠曲	那涨潮或落潮时，
枯叶@蝴蝶@枯叶就像一只只黄色的蝴蝶	秋天，从树枝上飘落下来，
生命@纸@生命像一张纸	开始时全是白的，后面会越来越黑。
闪电@金树@闪电忽而一下打到地里去，好像连根拔起来的多枝的金树	忽而在乌黑的云端进出火花。
心@松风@琴音绕丛林，心在颤抖声声如松风吼	又似泉水匆匆流淌。
山@雄鹰@这山很陡峭，犹如桀骜不驯的雄鹰	怒吼着世俗的喧嚣。
月亮@姑娘@月亮像个害羞的姑娘一样	羞答答地从后山露出半个脸。
父亲@石头@父亲像一个很坚固的石头	紧紧地抱住他，有了依靠。
蝌蚪@黑豆@小蝌蚪大头小尾，像一颗正在发芽的黑豆	真可爱。
烦恼@苦茶@成长的烦恼是苦茶	干涩干涩的。
快乐@小鸟@我很快乐，像丛林中的小鸟一样	自由自在。
母爱@大地@母爱是大地	我就是小草。
葡萄@玛瑙@没有成熟的葡萄又酸有涩，像一颗颗玛瑙	成熟的葡萄甜津津的。
父爱@火@父爱是火	点燃希望的灯。
时间@野马@时间是脱缰的野马	一去不回头。
春草@婴儿@春草如初生的婴儿	嫩而易折。
笑声@利刃@笑声像忽然被利刃猛切了一下	立即停止了。
月儿@小船@弯弯的月儿像小船	小小的船儿两头尖。
爱心@星星@爱心是天上的星星	闪闪发光。
心里@兔子@我的心里像装着一只小兔子似的	“怦怦”直跳，好紧张啊。
花@小姑娘@公园里的花如一个个娇羞可爱的小姑娘	在风中展示着舞姿，美丽极了。
父亲@大伞@父亲的爱是一把大伞	即使在风雨交加的路上，也不让一滴水珠落在我身上。
友爱@春风@友爱像一缕春风	温和细腻。
勤奋@阶梯@勤奋是阶梯	能引导我们步入知识的殿堂。
青松@战士@青松像战士一样一排排挺立着	不惧风雪的狂放。
回忆@笔@回忆像一只笔没有颜色	确有着清楚的字体。
父亲@音乐@父亲像音乐	让我们快快乐乐的生活。
作业@山@作业多得像一座山	等着我们这些“愚公”来做。
友情@美酒@友情像美酒	年份越久越醇香浓型。
闪电@困兽@闪电像一头困兽	想要冲破牢笼。
夜晚@游戏厅@夏天的夜晚像游戏厅	星星们在做游戏。
家庭@跑车@家庭是一辆跑车	随时需要共同的保养的呵护。
荷叶宛@玉璧@翠绿荷叶宛如一片片精美的玉璧	莹润清雅。
肩膀@墙@他肩膀宽阔，结实得像一堵墙似的	身材高大。
书@果汁@书是新鲜味美的果汁	让人滋心润肺。
高粱@火把@高粱红了，像一支支燃烧的火把	无尽的田野上，
月亮@玉轮@月亮出来了，像是刚刚脱水而出的玉轮冰盘	不染纤尘。
感恩@阳光@感恩是阳光	照亮前进的方向。
天空@轻纱@一轮金黄的圆月已经高高地挂在天空中，像轻纱似的一般温柔	向地上洒下皎洁的月光。
光柱@银色@探照灯巨大的光柱像一把巨大的银色长剑	刺破夜空。
桔红色@红宝石@苦瓜变成了桔红色，像红宝石一样的雍容华贵	在绿叶的衬托下。
台风@酒@台风像喝醉了酒	裹着一身雪粒，东碰西撞。
水雾@村罩@临河的村庄上空笼罩着一层透明的水雾，像是把小村罩在玻璃里一样	太阳刚刚升起，
信念@灯塔@信念是大海中的灯塔	指引我们前行。
花蕾@苹果@六月初昙花终于有了一个小花苞六月底昙花有了个花蕾近看像个“小苹果”远看像“拇指姑娘”	涨红着脸，有点怕羞。
友情@焰火@友情如焰火、友情如烛台	是黑暗中那一点的余温。
挫折@蜡烛@挫折是严寒中的一颗蜡烛	让我们感觉到家的温暖。
故乡@妈妈@故乡像妈妈一样	永远都给我最大的鼓励。
妈妈@风@妈妈就是一阵和煦的风	吹去朔雪纷飞，带来春光无限。
太阳@探照灯@太阳像一个大的探照灯	刺得我眼睛都睁不开。
怀抱@个@太阳终于挣脱了大地妈妈的怀抱，真像个大红球	在崇山俊岭之间冉冉升起。
朋友@梅花@朋友就是一朵朵迎雪而立的梅花	绽放开来，温暖着你我的心田。
月季花@少女@月季花像一个亭亭玉立的少女	在风中摇晃着自己的身躯好象在跳舞，迎着风儿散发出淡淡的香味儿使人神清气爽。
雨@老师@春天的雨像老师	用辛勤的汗水哺育学生们。
童年@字篇小诗@童年就像是字篇小诗	充满了韵味，让我们回味无穷。
亭子@牡丹@红色尖顶的亭子像一朵牡丹	点缀在绿海里，倒也有“万绿丛中一点红”的别致。
青春@朝霞@青春是燃烧的朝霞	照亮年轻人的征程。
墙角@荡秋千@蜘蛛悬挂在墙角荡来荡去，好像在荡秋千	好不快活。
花骨朵儿@小孩@百合花有的还是花骨朵儿，好像刚学走路的小孩	花包一点一点的。
诚信@绿洲@诚信像那沙漠中的绿洲	失去它你将身陷囹圄。
枫叶@金子@一棵枫树上的枫叶如一颗颗金子闪闪发光	很美丽。
信任@水晶@信任是一块易碎的水晶	需要我们用心去呵护。
树枝@黄蝶@一片银杏叶脱离了树枝，像一只翩翩起舞的黄蝶	投向了大地的怀抱。
外表@花瓶@石榴的外貌外表像一个球状的小口花瓶	它的皮是黄褐色的，当熟透时就会裂开口对你笑。
昙花@小姑娘@昙花开了，像一位羞涩的小姑娘	张开了她的笑脸。
海鸥@箭@海鸥就像开弓的箭一样飞向天空	在蓝色的大海，然后又掉头收拢双翅直插入海水中将未能逃跑掉的鱼儿捕获囊中，
错误@错误@错误是什么？错误就是跌了一个跟头	爬起来就是了。
身子@鹰脸部@猫头鹰的身子像鹰脸部像猫眼睛如铜铃嘴巴似镰刀脚爪呢像锋利的铁钩	样子威武极了。
湖水@翡翠@鲤子湖碧绿的湖水像一块无暇的翡翠	湖里的鲤鱼自由自在地游动着，像一片彤云飘来飘去染红了湖水。
理想@光@理想是光	照溶寒冬的雪。
谅解@甘露@谅解是一滴晶莹的甘露	能滋润人们心中干涸的土地。
回忆@刀@回忆像是一把刀	总是让人幻想又把人推向痛苦的边缘、最后看着心慢慢死掉、痛到眼泪往下掉却还要保持微笑。
父亲@母爱@父亲像母爱一样的无私	他不求回报。
春天@妈妈@春天，就像熟睡的婴儿从大地妈妈的怀中醒来	小草发芽了。
喜欢@树@喜欢是树	撑起一片绿荫。
蟋蟀@歌手@蟋蟀像个小歌手	在草丛里唱歌。
生活@清泉@生活是一股清泉	虽然无色无味，但是平淡而真实。
自信@路@自信是路	指引走向成功的大门。
眼睛@眼镜@螳螂的眼睛上似乎戴着副圆圆的眼镜	看来倒有点学者风度。
知识@泉水@知识是一汪清清凉凉的泉水	让人舒畅，缺它不可。
寒冬@棉被@寒冬大雪纷飞，像一层白色的棉被	松树的枝条上落满了雪花。
温暖@肩膀@温暖是孩子依赖的肩膀	眼泪依赖的脸庞。
落日@雄鹰@落日如气数已近的雄鹰	想拼命跳上上头，却无赖跌进了上沟。
鲜花@绣球@那一朵鲜花真像一个个绣球	十分鲜艳。
真诚@枝干@真诚，是信用的枝干	带领我们走进美妙的世界。
